Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned
Cool looking,cool looking/cool/looking,cool looking,,
excellent,excellent,excellent,,
i like it very much,much/like,much/like,,
design,design,design,,
"this design is very very interesting,and it is very important.",interesting/important/design,interesting/important/design,design,design
Very impressive,impressive,impressive,,
it is so nice,nice,nice,,
very much good,much good/good/much,much good,,
"The design looks great, good color combination",good color combination/design looks great/looks great/good color/color combination,good color combination/design looks great,good color,good color
Great,great,great,,
It's looks grate,looks grate/looks/grate,looks grate,,
card design is not important to me,card design/card/design/important,card design/important,card,card
fun and premium,fun/premium/fun and premium,fun and premium,fun,fun
"The more I look at it, the more I want it! The color looks super sleek and sophisticated, and I love the ridges. The pop of lime in the green seems to be something that some will like and others won't. I could definitely see why people would like it, but for me, I feel that the pop of lime green kind of throws of the overall sophisticated and edgy mood of the card.",color looks super/looks super sleek/lime green kind/look/want,color looks super/looks super sleek/lime green kind/want,lime green kind/edgy mood/overall sophisticated/green/sophisticated,lime green kind/edgy mood/overall sophisticated
yes,yes,yes,,
Its ok,None,None,,
is there a difference?,difference,difference,,
its green,green,green,,
doesn't say any thing.  It is plain,say/thing/say any thing/plain,say any thing/plain,thing,thing
i do not like the green i liked the other color dark,color dark/dark/like/green/liked,color dark/green/liked,other color,other color
Very attractive layout design on these cards with a simplicity of green in the middle.,attractive layout design/attractive layout/layout design/middle/attractive,attractive layout design/middle,attractive layout design,attractive layout design
"i liked the first one better, with the blue instead of lime green.",first one better/one better/lime green/first one/blue instead,first one better/lime green/blue instead,lime green,lime green
I like the design and the color,like the design/color/like/design,like the design/color,design,design
Cool lokking,cool lokking/cool/lokking,cool lokking,cool,cool
It's beautiful o my God,god/beautiful,god/beautiful,beautiful,beautiful
Nice and sleek like the green color,green color/sleek like/nice/color/nice and sleek,green color/sleek like/nice and sleek,green color,green color
very original,original,original,,
unique,unique,unique,,
Too dark,dark,dark,,
"Wow, its beautiful",wow/beautiful,wow/beautiful,,
"Like the design, looks modern",looks modern/like/design/looks/modern,looks modern/like/design,design,design
