"Q148 What, if anything, about Westworld draws you into this show and makes you want to watch? What makes it a good show? (Please be as detailed and complete as possible in your reply.)",YAKE Prediction
I really like the show because it is thought provoking and i like shows that make me think,thought provoking/really like/provoking/like/really
The cast.,cast
Nothing,nothing
"It is the most complex and original idea I have ever seen or heard of. Also, because it delves into the topic of human emotions, but in an artificial way, if I were to be punny and serious all at once. From what I have seen of the show, I believe that we, as human beings, can compare ourselves to the androids, because we can definitely relate to them.",original idea/ever seen/artificial way/human emotions/complex
it has many twists and I like that,many twists/twists/many/like
It's unpredictable so you are left wanting more,left wanting/unpredictable/left/wanting
thrilling and a very exciting show with action,exciting show/thrilling/action/show with action/exciting
It is a very unique show and I never know what to expect next,unique show/show/unique/expect next/next
It’s visually interesting,visually interesting/visually/interesting
love anything ed harris or thandie newton are in,love anything/thandie newton/love/anything/harris
The acting and writing are amazing and it has a great story,great story/story/acting/writing/amazing
"Westworld is a complete show, from start to finish, its plot keeps you interested and intrigued by what may happen. It has a unique theme and plot in my opinion, combining in a great way the genre of science fiction with the drama and problems that afflict us today.",complete show/may happen/plot keeps/westworld/show
Its different than the other show I watch,watch/different/show
how they try and make a new way to be different then others,new way/others/different then others/try/make
I like the subject.,subject/like the subject/like
The overall futuristic concept of living in that (simulated) time period. The characters are all engaging and support their individual and collective agandas with determination and steadfastness.,overall futuristic concept/time period/overall futuristic/futuristic concept/simulated
Than you.,
I like the action and parts in which they get killed by the bad guy,bad guy/get killed/guy/like/action
love the complexity of characters and how it makes you think critically,think critically/love/critically/love the complexity/complexity
The aspect of the show that revolves around what makes people humans. The acting is also great.,makes people humans/people humans/revolves around/makes people/humans
The characters,characters
THE CHARACTERS,characters
"I absolutely love the scenery and the music. The music is best in show, best in class. I've always been an Evan Rachel Wood fan and she carries the series very well. The overall tense and somber mood is drawing for me. I'm always excited to see what lurks behind each episode.",evan rachel wood/absolutely love/love the scenery/rachel wood fan/evan rachel
it is very good,good
Westworld is a drama series of a darkodyssey about the dawn of artificial and evolution of sin,drama series/westworld/sin/evolution of sin/drama
Nothing else,nothing else/nothing/else
the AI and sci-fi storyline and some of the characters,sci/characters/storyline
I don't love love it. Too violent,love love/love/violent
not sure it is very confusing now,sure/confusing
I like that it have a virtual reality setting where the character can go to any setting of the time line to protect there friend,virtual reality setting/virtual reality/time line/reality setting/friend
its full of twists,twists/full of twists/full
"Complex story line, artificial intelligence",complex story line/artificial intelligence/complex story/story line/complex
"I really liked the first season. I'm not too impressed with the rest. I guess I keep comparing it to the original movie, which I really liked.",first season/really liked/season/really/liked
It’s a show my friends recommended to me and I started watching.,friends recommended/show/friends/recommended/started watching
It doesn’t,
the story of the show is very engaging,engaging/story/show
it is a binge worry,binge worry/worry/binge
"Futuristic Scifi, AI, sentience/consciousness, what is life? what is real? revealing the wider world beyond the parks (and the other parks), the architecture",futuristic scifi/scifi/sentience/consciousness/futuristic
The artificial intelligence aspect and Jeffrey wright,jeffrey wright/artificial intelligence aspect/artificial intelligence/intelligence aspect/jeffrey
is very good,good
"interesting plot, interest to see how reality and 'fiction' merge in the show",interesting plot/fiction/interesting/plot/interest
Engaging,engaging
It a how that goes beyond the typical sci-fi story and tells the side of machine trying to survive and gain it's on identity.,typical sci/goes beyond/machine trying/sci/identity
It has very good acting and plot lines I'm always surprised by,plot lines/good acting/lines/good/acting
What draws me to Westworld is the thrill and excitement of every scene. I like the unexpected plot twists and how characters form bonds with one another. It is a good show because of the complex plot and the intrigue of its characters,every scene/westworld/unexpected plot twists/characters form bonds/scene
I like the plot of the show,like the plot/show/like/plot
The plot twists and expanding further into the westworld universe,westworld universe/plot twists/universe/plot/twists
The entire concept of AI and alternate realities interests me.,alternate realities interests/entire concept/alternate realities/realities interests/entire
Good show to fall asleep to.,good show/show to fall/fall asleep/good/show
